Время    эдс
мс       мв
    
0.042724609  0.421245227
0.044250488  0.391467048
0.045776367  0.36135552
0.047302246  0.330964635
0.048828125  0.300354624
0.050354004  0.269674934
0.051879883  0.239299889
0.053405762  0.2098686
0.054931641  0.182161646
0.05645752  0.15688533
0.057983398  0.134490692
0.059509277  0.115113555
0.061035156  0.098638488
0.062561035  0.084809993
0.064086914  0.073312313
0.065612793  0.063804508
0.067138672  0.055942881
0.068664551  0.049409792
0.07019043  0.043938751
0.071716309  0.039320442
0.073242188  0.035392359
0.074768066  0.032026529
0.076293945  0.029123552
0.077819824  0.026609443
0.079345703  0.024429482
0.080871582  0.022539509
0.082397461  0.020899381
0.08392334  0.019471253
0.085449219  0.018220746
0.086975098  0.017117912
0.088500977  0.016137064
0.090026855  0.015256559
0.091552734  0.014459319
0.093078613  0.013733233
0.094604492  0.013070366
0.096130371  0.012465133
0.09765625  0.011912651
0.099182129  0.011407975
0.100708008  0.010946225
0.102233887  0.010522883
0.103759766  0.010133795
0.105285645  0.009775335
0.106811523  0.009444239
0.108337402  0.009137713
0.109863281  0.008853454
0.11138916  0.008589551
0.112915039  0.00834432
0.114440918  0.008116186
0.115966797  0.00790368
0.117492676  0.007705437
0.119018555  0.007520198
0.120544434  0.00734679
0.122070313  0.007184126
0.123596191  0.007031229
0.12512207  0.006887252
0.126647949  0.00675147
0.128173828  0.00662326
0.129699707  0.006502074
0.131225586  0.006387432
0.132751465  0.006278939
0.134277344  0.006176272
0.135803223  0.006079129
0.137329102  0.00598719
0.13885498  0.005900077
0.140380859  0.005817372
0.141906738  0.005738653
0.143432617  0.005663537
0.144958496  0.005591677
0.146484375  0.005522808
0.148010254  0.005456716
0.149536133  0.005393238
0.151062012  0.005332255
0.152587891  0.005273674
0.15411377  0.00521741
0.155639648  0.005163372
0.157165527  0.005111455
0.158691406  0.005061541
0.160217285  0.005013501
0.161743164  0.004967203
0.163269043  0.004922527
0.164794922  0.004879368
0.166320801  0.004837635
0.16784668  0.00479725
0.169372559  0.004758147
0.170898438  0.00472027
0.172424316  0.00468357
0.173950195  0.004648014
0.175476074  0.004613587
0.177001953  0.004580275
0.178527832  0.004548048
0.180053711  0.004516853
0.18157959  0.004486606
0.183105469  0.004457213
0.184631348  0.004428578
0.186157227  0.004400618
0.187683105  0.00437328
0.189208984  0.004346528
0.190734863  0.004320343
0.192260742  0.004294721
0.193786621  0.004269662
0.1953125  0.004245168
0.196838379  0.004221234
0.198364258  0.004197846
0.199890137  0.004174979
0.201416016  0.004152606
0.202941895  0.004130702
0.204467773  0.004109238
0.205993652  0.004088185
0.207519531  0.004067518
0.20904541  0.004047219
0.210571289  0.004027281
0.212097168  0.004007699
0.213623047  0.00398847
0.215148926  0.003969597
0.216674805  0.003951089
0.218200684  0.003932965
0.219726563  0.003915232
0.221252441  0.003897872
0.22277832  0.003880845
0.224304199  0.003864096
