Время    эдс
мс       мв
    
0.042724609  0.362051583
0.044250488  0.330432074
0.045776367  0.29872444
0.047302246  0.266950628
0.048828125  0.235149688
0.050354004  0.203523509
0.051879883  0.172651489
0.053405762  0.143487845
0.054931641  0.117086628
0.05645752  0.094242398
0.057983398  0.075266366
0.059509277  0.059995412
0.061035156  0.047982031
0.062561035  0.038695563
0.064086914  0.031622809
0.065612793  0.026283993
0.067138672  0.022243056
0.068664551  0.01914013
0.07019043  0.016714666
0.071716309  0.014793261
0.073242188  0.013256775
0.074768066  0.012016177
0.076293945  0.011005991
0.077819824  0.010182731
0.079345703  0.009517047
0.080871582  0.008982684
0.082397461  0.008551227
0.08392334  0.008194802
0.085449219  0.007890892
0.086975098  0.00762381
0.088500977  0.007382977
0.090026855  0.00716132
0.091552734  0.00695523
0.093078613  0.006764342
0.094604492  0.006589814
0.096130371  0.00643214
0.09765625  0.006290094
0.099182129  0.006161313
0.100708008  0.006043413
0.102233887  0.00593461
0.103759766  0.005833585
0.105285645  0.005739204
0.106811523  0.005650533
0.108337402  0.005567
0.109863281  0.005488374
0.11138916  0.005414525
0.112915039  0.005345221
0.114440918  0.005280092
0.115966797  0.005218734
0.117492676  0.005160767
0.119018555  0.005105837
0.120544434  0.005053594
0.122070313  0.005003723
0.123596191  0.004955989
0.12512207  0.00491024
0.126647949  0.004866381
0.128173828  0.004824333
0.129699707  0.004784008
0.131225586  0.004745335
0.132751465  0.0047083
0.134277344  0.004672936
0.135803223  0.004639252
0.137329102  0.004607161
0.13885498  0.004576473
0.140380859  0.00454694
0.141906738  0.004518319
0.143432617  0.004490424
0.144958496  0.004463141
0.146484375  0.004436411
0.148010254  0.00441022
0.149536133  0.00438459
0.151062012  0.004359564
0.152587891  0.004335181
0.15411377  0.004311459
0.155639648  0.004288385
0.157165527  0.004265928
0.158691406  0.004244042
0.160217285  0.004222676
0.161743164  0.004201782
0.163269043  0.004181323
0.164794922  0.004161266
0.166320801  0.004141596
0.16784668  0.004122305
0.169372559  0.004103388
0.170898438  0.004084845
0.172424316  0.004066673
0.173950195  0.004048887
0.175476074  0.004031523
0.177001953  0.004014605
0.178527832  0.00399813
0.180053711  0.00398205
0.18157959  0.00396628
0.183105469  0.003950724
0.184631348  0.00393531
0.186157227  0.003919996
0.187683105  0.003904772
0.189208984  0.003889649
0.190734863  0.003874651
0.192260742  0.00385981
0.193786621  0.003845155
0.1953125  0.003830702
0.196838379  0.003816457
0.198364258  0.003802412
0.199890137  0.003788547
0.201416016  0.003774841
0.202941895  0.003761278
0.204467773  0.003747845
0.205993652  0.003734536
0.207519531  0.003721346
0.20904541  0.003708276
0.210571289  0.003695329
0.212097168  0.003682511
0.213623047  0.003669829
0.215148926  0.003657302
0.216674805  0.003644959
0.218200684  0.003632832
0.219726563  0.003620929
0.221252441  0.003609217
0.22277832  0.003597637
0.224304199  0.003586119
