Время    эдс
мс       мв
    
0.042724609  0.458269663
0.044250488  0.431488046
0.045776367  0.404117796
0.047302246  0.376235941
0.048828125  0.347918891
0.050354004  0.319296032
0.051879883  0.290641178
0.053405762  0.26241111
0.054931641  0.235182072
0.05645752  0.209518327
0.057983398  0.185848059
0.059509277  0.164405307
0.061035156  0.145248544
0.062561035  0.128315397
0.064086914  0.113467925
0.065612793  0.100518396
0.067138672  0.089248743
0.068664551  0.079436134
0.07019043  0.070875718
0.071716309  0.063390671
0.073242188  0.056830862
0.074768066  0.051068516
0.076293945  0.045996199
0.077819824  0.041525505
0.079345703  0.037583541
0.080871582  0.034107608
0.082397461  0.031041032
0.08392334  0.028331823
0.085449219  0.025933028
0.086975098  0.023803058
0.088500977  0.021905453
0.090026855  0.020208628
0.091552734  0.018686021
0.093078613  0.017316114
0.094604492  0.016081725
0.096130371  0.014968716
0.09765625  0.013964816
0.099182129  0.013058919
0.100708008  0.012240942
0.102233887  0.011501843
0.103759766  0.010833501
0.105285645  0.010228648
0.106811523  0.009680733
0.108337402  0.009184093
0.109863281  0.008733705
0.11138916  0.008325118
0.112915039  0.007954321
0.114440918  0.007617602
0.115966797  0.00731155
0.117492676  0.00703302
0.119018555  0.006779145
0.120544434  0.006547312
0.122070313  0.006335175
0.123596191  0.006140666
0.12512207  0.005961977
0.126647949  0.005797558
0.128173828  0.005646083
0.129699707  0.00550641
0.131225586  0.005377556
0.132751465  0.005258682
0.134277344  0.005149071
0.135803223  0.005048092
0.137329102  0.004955145
0.13885498  0.004869624
0.140380859  0.004790908
0.141906738  0.004718374
0.143432617  0.004651425
0.144958496  0.004589497
0.146484375  0.004532074
0.148010254  0.004478686
0.149536133  0.004428936
0.151062012  0.004382472
0.152587891  0.004338982
0.15411377  0.00429819
0.155639648  0.004259846
0.157165527  0.004223722
0.158691406  0.004189611
0.160217285  0.004157321
0.161743164  0.004126685
0.163269043  0.004097558
0.164794922  0.004069831
0.166320801  0.004043422
0.16784668  0.004018264
0.169372559  0.003994297
0.170898438  0.003971467
0.172424316  0.003949723
0.173950195  0.003929026
0.175476074  0.003909341
0.177001953  0.003890631
0.178527832  0.003872848
0.180053711  0.003855922
0.18157959  0.003839765
0.183105469  0.003824266
0.184631348  0.003809306
0.186157227  0.003794781
0.187683105  0.003780605
0.189208984  0.003766721
0.190734863  0.003753094
0.192260742  0.003739704
0.193786621  0.003726548
0.1953125  0.003713629
0.196838379  0.003700951
0.198364258  0.003688516
0.199890137  0.003676321
0.201416016  0.003664359
0.202941895  0.003652626
0.204467773  0.003641111
0.205993652  0.003629802
0.207519531  0.003618684
0.20904541  0.003607748
0.210571289  0.003596986
0.212097168  0.003586387
0.213623047  0.003575939
0.215148926  0.003565636
0.216674805  0.003555482
0.218200684  0.003545483
0.219726563  0.003535642
0.221252441  0.003525947
0.22277832  0.003516372
0.224304199  0.003506883
